,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd,testStart,testEnd,ChargeableStartDateTime,ChargeableEndDateTime
58,The Muse,11,2023-01-23 08:30:00,2023-01-23 17:00:00,...-...,08:30,17:00,,,2023-01-23 08:30:00,2023-01-23 17:00:00
59,Better Breathing Exs.,10,2023-01-23 09:00:00,2023-01-23 12:00:00,...-...,09:00,12:00,,,2023-01-23 09:00:00,2023-01-23 12:00:00
60,SEWN,11,2023-01-23 09:30:00,2023-01-23 15:30:00,...-...,09:30,15:30,,,2023-01-23 09:30:00,2023-01-23 15:30:00
61,Canterbury Somali association ,10a,2023-01-23 10:00:00,2023-01-23 14:00:00,...-...,10:00,14:00,,,2023-01-23 10:00:00,2023-01-23 14:00:00
62,SEWN board meeting,10,2023-01-23 12:15:00,2023-01-23 14:15:00,...-...,12:15,14:15,,,2023-01-23 12:15:00,2023-01-23 14:15:00
63,PCCCT -Craft,10a,2023-01-23 14:00:00,2023-01-23 16:15:00,...-...,14:00,16:15,,,2023-01-23 14:00:00,2023-01-23 16:15:00
64,ICEcycles,7,2023-01-23 17:30:00,2023-01-23 20:30:00,...-...,17:30,20:30,,,2023-01-23 17:30:00,2023-01-23 20:30:00
65,Impulse Theatre,1,2023-01-23 18:30:00,2023-01-23 21:30:00,...-...,18:30,21:30,,,2023-01-23 18:30:00,2023-01-23 21:30:00
66,Book club,10,2023-01-23 19:00:00,2023-01-23 21:00:00,...-...,19:00,21:00,,,2023-01-23 19:00:00,2023-01-23 21:00:00
67,Te Reo Maori class,5,2023-01-23 19:15:00,2023-01-23 21:45:00,...-...,19:15,21:45,,,2023-01-23 19:15:00,2023-01-23 21:45:00
