,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd
68,The Muse,5,2023-01-24 08:00:00,2023-01-24 17:00:00,...-16:41,08:00,17:00
69,The Muse,11,2023-01-24 08:30:00,2023-01-24 17:00:00,,08:30,17:00
70,The Muse,5,2023-01-25 08:00:00,2023-01-25 17:00:00,,08:00,17:00
71,The Muse,11,2023-01-25 08:30:00,2023-01-25 17:00:00,,08:30,17:00
72,Hub Tech,11,2023-01-25 09:00:00,2023-01-25 16:00:00,,09:00,16:00
73,Canterbury Somali association ,10a,2023-01-25 09:30:00,2023-01-25 12:30:00,,09:30,12:30
74,SEWN,11,2023-01-25 09:30:00,2023-01-25 15:30:00,,09:30,15:30
75,Ngati Kahungunu whanau,10,2023-01-25 16:00:00,2023-01-25 21:00:00,,16:00,21:00
76,Narcotics Anonymous,1,2023-01-25 18:45:00,2023-01-25 20:00:00,18:27-20:25,18:42,20:10
77,The Muse,11,2023-01-26 08:30:00,2023-01-26 17:00:00,,08:30,17:00
78,Hub Tech,11,2023-01-26 09:00:00,2023-01-26 16:00:00,,09:00,16:00
79,Sit and be fit,10,2023-01-26 10:00:00,2023-01-26 11:30:00,,10:00,11:30
80,CRRRC -Foodbank,10a,2023-01-26 10:00:00,2023-01-26 12:00:00,,10:00,12:00
81,Autistic Innovations ,1,2023-01-26 12:30:00,2023-01-26 14:30:00,,12:30,14:30
82,The Muse,5,2023-01-26 15:30:00,2023-01-26 17:00:00,,15:30,17:00
83,Autism Family information group ,5,2023-01-26 18:15:00,2023-01-26 20:30:00,...-20:46,18:15,20:30
84,Charleston Residents Association,1,2023-01-26 19:30:00,2023-01-26 22:00:00,19:11-20:38,19:26,22:00
85,SEWN,11,2023-01-27 09:30:00,2023-01-27 15:30:00,,09:30,15:30
86,Auahatanga wellbeing,1,2023-01-27 12:15:00,2023-01-27 15:15:00,,12:15,15:15
87,Song Merchants,10,2023-01-27 18:30:00,2023-01-27 22:55:00,18:41-22:28,18:30,22:55
88,Vegan Market,10,2023-01-28 16:30:00,2023-01-28 20:30:00,15:54-21:45,16:09,21:30
89,Vegan Market,1,2023-01-28 16:30:00,2023-01-28 20:30:00,15:54-21:45,16:09,21:30
90,Vegan Market,10a,2023-01-28 16:30:00,2023-01-28 20:30:00,15:54-21:45,16:09,21:30
91,Harvest Church,1,2023-01-29 09:00:00,2023-01-29 13:00:00,09:14-12:55,09:00,13:00
92,CICF,10,2023-01-29 10:00:00,2023-01-29 13:00:00,09:55-12:59,10:00,13:00
