,Activity,Location,Start,End,ActualTimes,ChargeableStart,ChargeableEnd
281,SEWN,11,2023-03-06 09:30:00,2023-03-06 15:30:00,,09:30,15:30
282,Better Breathing Exs.,5,2023-03-06 09:30:00,2023-03-06 12:00:00,,09:30,12:00
283,Plunket -Toes and Giggles,1,2023-03-06 10:00:00,2023-03-06 12:45:00,,10:00,12:45
284,Shoulder to shoulder,5,2023-03-06 12:00:00,2023-03-06 13:30:00,,12:00,13:30
285,PCCCT -Craft,10a,2023-03-06 14:00:00,2023-03-06 16:15:00,,14:00,16:15
286,Leadership Group Meeting,10,2023-03-06 16:30:00,2023-03-06 19:00:00,,16:30,19:00
287,ICEcycles,7,2023-03-06 17:30:00,2023-03-06 20:30:00,17:15-21:28,17:30,21:13
288,NZSL4U,10a,2023-03-06 17:45:00,2023-03-06 20:00:00,...-19:56,17:45,20:00
289,Te Reo Maori class,5,2023-03-06 18:00:00,2023-03-06 19:30:00,19:13-21:58,18:00,21:43
290,Impulse Theatre,1,2023-03-06 18:30:00,2023-03-06 21:30:00,18:47-21:16,18:30,21:30
291,Book club,10,2023-03-06 19:00:00,2023-03-06 21:00:00,19:05-21:10,19:00,21:00
292,A-OK.NZ,10a,2023-03-07 08:30:00,2023-03-07 16:00:00,,08:30,16:00
293,Incredible years,5,2023-03-07 09:00:00,2023-03-07 14:00:00,,09:00,14:00
294,Safety Panel,10,2023-03-07 09:30:00,2023-03-07 11:00:00,,09:30,11:00
295,ELP,1,2023-03-07 09:30:00,2023-03-07 14:00:00,,09:30,14:00
296,PCCCT Leisure Club ,10,2023-03-07 12:30:00,2023-03-07 15:00:00,,12:30,15:00
297,DIY Dance,5,2023-03-07 15:00:00,2023-03-07 16:00:00,,15:00,16:00
298,NZSL4U,10a,2023-03-07 17:45:00,2023-03-07 20:00:00,17:49-19:43,17:45,20:00
299,Te Reo Maori class,1,2023-03-07 18:00:00,2023-03-07 19:30:00,17:38-20:15,17:53,20:00
300,Plunket -Pregnancy and Parenting Education,10,2023-03-07 18:30:00,2023-03-07 20:30:00,...-19:50,18:30,20:30
301,A-OK.NZ,5,2023-03-08 08:30:00,2023-03-08 16:00:00,,08:30,16:00
302,SEWN,11,2023-03-08 09:30:00,2023-03-08 15:30:00,,09:30,15:30
303,ELP,1,2023-03-08 10:00:00,2023-03-08 12:00:00,,10:00,12:00
304,Canterbury Somali association ,10a,2023-03-08 10:30:00,2023-03-08 12:30:00,,10:30,12:30
305,CRRRC - Cooking class,10,2023-03-08 12:00:00,2023-03-08 15:00:00,,12:00,15:00
306,Deutsch in Christchurch ,1,2023-03-08 15:30:00,2023-03-08 18:30:00,,15:30,18:30
307,Ngati Kahungunu whanau,10,2023-03-08 16:00:00,2023-03-08 21:00:00,,16:00,21:00
308,NZSL4U,10a,2023-03-08 17:45:00,2023-03-08 20:00:00,17:49-19:44,17:45,20:00
309,Narcotics Anonymous,1,2023-03-08 18:45:00,2023-03-08 20:00:00,...-20:17,18:45,20:02
310,Sit and be Fit ,5,2023-03-09 10:00:00,2023-03-09 11:30:00,,10:00,11:30
311,CRRRC -Foodbank,10a,2023-03-09 10:00:00,2023-03-09 12:00:00,,10:00,12:00
312,Autistic Innovations ,11,2023-03-09 12:30:00,2023-03-09 14:30:00,,12:30,14:30
313,Te Reo Maori Class,10a,2023-03-09 18:30:00,2023-03-09 20:30:00,18:17-20:57,18:30,20:42
314,African Drumming,1,2023-03-09 19:00:00,2023-03-09 21:00:00,18:44-20:54,18:59,21:00
315,SEWN,11,2023-03-10 09:30:00,2023-03-10 15:30:00,,09:30,15:30
316,Outreach Clinic,11,2023-03-10 10:00:00,2023-03-10 12:00:00,,10:00,12:00
317,Birthright - Connect 'n learn parents group ,1,2023-03-10 10:00:00,2023-03-10 12:00:00,,10:00,12:00
318,Auahatanga wellbeing,1,2023-03-10 12:00:00,2023-03-10 15:00:00,,12:00,15:00
319,DIY Dance,5,2023-03-10 13:00:00,2023-03-10 14:00:00,,13:00,14:00
320,Song Merchants,10,2023-03-10 18:30:00,2023-03-10 22:55:00,18:32-22:44,18:30,22:55
321,Thriving Madly - Crafternoon,10a,2023-03-11 12:00:00,2023-03-11 15:00:00,...-14:41,12:00,15:00
322,CICF,10,2023-03-12 10:00:00,2023-03-12 13:00:00,09:44-12:29,09:59,13:00
323,Rock an Roll,10,2023-03-12 13:15:00,2023-03-12 15:15:00,12:51-15:21,12:44,15:15
